A    AX 
Condor   K O~ D O+ RR 
Conduta  K O~ D U+ T AX 
Conference   K O~ F E R E~+ S IX 
Conferiu     K O~ F E R I+ UX 
Conferência  K O~ F E R E~+ S I AX 
Conferências     K O~ F E R E~+ S I AX S 
Confio   K O~ F I+ UX 
Confira  K O~ F I+ R AX 
Congo    K O~+ G UX 
Congresso    K O~ G R E+ S UX 
Congressos   K O~ G R E+ S UX S 
Connie   K O~ N I+ IX 
Connor   K O~ N O+ RR 
Conquistas   K O~ K I+ S T AX S 
Conrado  K O~ RR A+ D UX 
Consciente   K O~ S I E~+ TJ IX 
Consciência  K O~ S I E~+ S I AX 
Conseguirá   K O~ S E G I R A+ 
Conselheiro  K O~ S E LJ E+ I R UX 
Conselho     K O~ S E+ LJ UX 
Considerada  K O~ S I D E R A+ D AX 
Considerando     K O~ S I D E R A~+ D UX 
Constant     K O~ S T A~+ TJ IX 
Constitucional   K O~ S TJ I T U S I O N A+ W 
Constituição     K O~ S TJ I T U I S A~+ W~ 
Construído   K O~ S T R U I+ D UX 
Consuelo     K O~ S U E+ L UX 
Consultoria  K O~ S U W T O R I+ AX 
Consumidor   K O~ S U M I D O+ RR 
Conta    K O~+ T AX 
Contato  K O~ T A+ T UX 
Conte    K O~+ TJ IX 
Contemporânea    K O~ T E~ P O R A~+ N I AX 
Continental  K O~ TJ I N E~ T A+ W 
Continuamos  K O~ TJ I N U A~+ M UX S 
Continuar    K O~ TJ I N U A+ RR 
Contra   K O~ T R AX 
Contrato     K O~ T R A+ T UX 
Contribuintes    K O~ T R I B U I~+ TJ IX S 
Contribuição     K O~ T R I B U I S A~+ W~ 
Controlado   K O~ T R O L A+ D UX 
Contudo  K O~ T U+ D UX 
Convenções   K O~ V E~ S O~+ I~ S 
Convergência     K O~ V E RR Z E~+ S I AX 
Conversa     K O~ V E+ RR S AX 
Conversei    K O~ V E RR S E+ IX 
Convém   K O~ V E~+ I~ 
Cooperação   K O O P E R A S A~+ W~ 
Copa     K O+ P AX 
Copacabana   K O P A K A B A~+ N AX 
Copas    K O+ P AX S 
Copenhague   K O P E NJ A+ G IX 
Coral    K O R A+ W 
Coração  K O R A S A~+ W~ 
Cordeiro     K O RR D E+ I R UX 
Coreia   K O R E+ I AX 
Corina   K O R I+ N AX 
Corinthians  K O R I~ T I A~+ S 
Corpus   K O RR P U+ S 
Correia  K O RR E+ I AX 
Correspondente   K O RR E S P O~ D E~+ TJ IX 
Corte    K O+ RR TJ IX 
Cosmo    K O+ Z M UX 
Cosmos   K O+ Z M UX S 
Cosmética    K O+ Z M E+ TJ I K AX 
Costa    K O+ S T AX 
Coutinho     K O TJ I+ NJ UX 
Couto    K O+ T UX 
Crawford     K R A V F O+ RR DJ IX 
Crazy    K R A Z I+ 
Credibilidade    K R E DJ I B I L I D A+ DJ IX 
Creio    K R E+ I UX 
Crescente    K R E S E~+ TJ IX 
Cresceram    K R E S E+ R A~+ W~ 
Criança  K R I A~+ S AX 
Criminal     K R I M I N A+ W 
Crise    K R I+ Z IX 
Cristal  K R I S T A+ W 
Cristian     K R I S TJ I A~+ 
Cristiano    K R I S TJ I A~+ N UX 
Cristina     K R I S TJ I+ N AX 
Cristo   K R I+ S T UX 
Cristã   K R I S T A~+ 
Cristão  K R I S T A~+ W~ 
Cristãos     K R I S T A~+ W~ S 
Cristãs  K R I S T A~+ S 
Cronista     K R O N I+ S T AX 
Crucial  K R U S I A+ W 
Cruz     K R U+ S 
Cruzada  K R U Z A+ D AX 
Cruzeiro     K R U Z E+ I R UX 
Crystal  K R I S T A+ W 
Crédito  K R E+ DJ I T UX 
Créditos     K R E+ DJ I T UX S 
Crítica  K R I+ TJ I K AX 
Críticas     K R I+ TJ I K AX S 
Críticos     K R I+ TJ I K UX S 
Crónica  K R O+ N I K AX 
Crônica  K R O+ N I K AX 
Cuba     K U+ B AX 
Cultura  K U W T U+ R AX 
Cultural     K U W T U R A+ W 
Cumbica  K U~ B I+ K AX 
Cumprimos    K U~ P R I+ M UX S 
Cunha    K U+ NJ AX 
Cup  K U+ P IX 
Curiosamente     K U R I O Z A M E~+ TJ IX 
Curioso  K U R I O+ Z UX 
Curitiba     K U R I TJ I+ B AX 
Currículo    K U RR I+ K U L UX 
Curt     K U+ RR TJ IX 
Curtis   K U RR TJ I+ S 
Custo    K U+ S T UX 
Custos   K U+ S T UX S 
Custódia     K U S T O+ DJ I AX 
Cyrus    S I R U+ S 
Cálculos     K A+ W K U L UX S 
Cándido  K A+ N DJ I D UX 
Cássio   K A+ S I UX 
Câmara   K A~+ M A R AX 
Câmaras  K A~+ M A R AX S 
Câmbio   K A~+ B I UX 
Câmera   K A~+ M E R AX 
Câncer   K A~+ S E RR 
Cândido  K A~+ DJ I D UX 
Cães     K A~+ I~ S 
Célio    S E+ L I UX 
César    S E+ Z A RR 
Céu  S E+ UX 
Cícero   S I+ S E R UX 
Círculo  S I+ RR K U L UX 
Cívico   S I+ V I K UX 
Código   K O+ DJ I G UX 
Córsega  K O+ RR S E G AX 
Cúpula   K U+ P U L AX 
D    DJ IX 
DAN  D A~+ 
DAVID    D A V I+ DJ IX 
DE   D E+ 
DEPENDE  D E P E~ D E+ 
DESEMPREGO   D E E~ P R E G UX 
DEZEMBRO     D E+ Z E~ B R UX 
DIAS     DJ I AX S 
DINHEIRO     DJ I NJ E+ I R UX 
DIRETA   DJ I R E T AX 
DO   D UX 
DOMINGOS     D O M I N G UX S 
DOWNLOAD     D O V N L O A+ DJ IX 
Da   D A+ 
Dada     D A+ D AX 
Dagoberto    D A G O B E+ RR T UX 
Dahl     D A+ L 
Dai  D A+ IX 
Dallas   D A+ L AX S 
Dalton   D A+ W T O~ W~ 
Dalva    D A+ W V AX 
Damas    D A~+ M AX S 
Damasco  D A M A+ S K UX 
Damian   D A M I A~+ 
Dan  D A~+ 
Dana     D A~+ N AX 
Danger   D A~+ Z E RR 
Dani     D A N I+ 
Daniel   D A N I E+ W 
Daniela  D A N I E+ L AX 
Daniele  D A N I E+ L IX 
Danilo   D A N I+ L UX 
Danny    D A~ N I+ 
Danone   D A N O+ N IX 
Dario    D A R I+ UX 
Darwin   D A RR V I~+ 
Das  D A+ S 
Dave     D A+ V IX 
Davi     D A V I+ 
David    D A V I+ DJ IX 
Davis    D A V I+ S 
Dawn     D A+ V N 
Day  D A+ I 
Days     D A+ I S 
Daí  D A I+ 
De   D E+ 
Dead     D E A+ DJ IX 
Decididamente    D E S I DJ I D A M E~+ TJ IX 
Decisão  D E S I Z A~+ W~ 
Declaração   D E K L A R A S A~+ W~ 
Dee  D E+ IX 
Deep     D E E+ P IX 
Defeitos     D E F E+ I T UX S 
Defender     D E F E~+ D E RR 
Defensa  D E F E~+ S AX 
Defensor     D E F E~ S O+ RR 
Defesa   D E F E+ Z AX 
Deficiência  D E F I S I E~+ S I AX 
Definir  D E F I N I+ RR 
Deixe    D E I SCH IX 
Deixemos     D E I SCH E+ M UX S 
Dela     D E+ L AX 
Delegacia    D E L E G A S I+ AX 
Delfim   D E W F I~+ 
Delgado  D E W G A+ D UX 
Delmiro  D E W M I+ R UX 
Delta    D E+ W T AX 
Demi     D E M I+ 
Democrata    D E M O K R A+ T AX 
Democrática  D E M O K R A+ TJ I K AX 
Democrático  D E M O K R A+ TJ I K UX 
Dente    D E~+ TJ IX 
Dentre   D E~+ T R IX 
Denver   D E~+ V E RR 
Deodato  D E O D A+ T UX 
Departamento     D E P A RR T A M E~+ T UX 
Dependendo   D E P E~ D E~+ D UX 
Depoimentos  D E P O I M E~+ T UX S 
Depois   D E P O+ IX S 
Deputados    D E P U T A+ D UX S 
Desafeto     D E Z A F E+ T UX 
Desafios     D E Z A F I+ UX S 
Descobrimos  D E S K O B R I+ M UX S 
Desconto     D E S K O~+ T UX 
Descontos    D E S K O~+ T UX S 
Desculpe     D E S K U+ W P IX 
Desde    D E+ Z DJ IX 
Desemprego   D E Z E~ P R E+ G UX 
Desenvolvimento  D E Z E~ V O W V I M E~+ T UX 
Desmond  D E Z M O~+ DJ IX 
Desportiva   D E S P O RR TJ I+ V AX 
Desportivo   D E S P O RR TJ I+ V UX 
Dessa    D E+ S AX 
Desse    D E+ S IX 
Desses   D E+ S IX S 
Desta    D E+ S T AX 
Detroit  D E T R O I+ TJ IX 
Deus     D E+ UX S 
Devem    D E+ V E~ I~ 
Deverá   D E V E R A+ 
Deverão  D E V E R A~+ W~ 
Deveríamos   D E V E R I+ A M UX S 
Dezenas  D E Z E+ N AX S 
Dezenove     D E Z E N O+ V IX 
Dezesseis    D E Z E S E+ IX S 
Dezessete    D E Z E S E+ TJ IX 
Dezoito  D E Z O+ I T UX 
Di   DJ I+ 
Dia  DJ I+ AX 
Diadema  DJ I A D E+ M AX 
Diamond  DJ I A M O~+ DJ IX 
Diana    DJ I A~+ N AX 
Diante   DJ I A~+ TJ IX 
Dias     DJ I AX S 
Diego    DJ I E+ G UX 
Dieta    DJ I E+ T AX 
Difícil  DJ I F I+ S I W 
Digital  DJ I Z I T A+ W 
Dimas    DJ I+ M AX S 
Dina     DJ I+ N AX 
Dinamarca    DJ I N A M A+ RR K AX 
Dinamo   DJ I N A~+ M UX 
Diniz    DJ I N I+ S 
Dino     DJ I+ N UX 
Diogo    DJ I O+ G UX 
Dios     DJ I+ UX S 
Diplomatas   DJ I P L O M A+ T AX S 
Dirceu   DJ I RR S E+ UX 
Direito  DJ I R E+ I T UX 
Direitos     DJ I R E+ I T UX S 
Dirk     DJ I+ RR K 
Discursos    DJ I S K U+ RR S UX S 
Discutimos   DJ I S K U TJ I+ M UX S 
Disfarce     DJ I S F A+ RR S IX 
Disse    DJ I+ S IX 
Disseram     DJ I S E+ R A~+ W~ 
Distrito     DJ I S T R I+ T UX 
Dito     DJ I+ T UX 
Diversas     DJ I V E+ RR S AX S 
Divisão  DJ I V I Z A~+ W~ 
Dixon    DJ I+ SCH O~ W~ 
Diz  DJ I+ S 
Dizem    DJ I Z E~ I~ 
Dizer    DJ I+ Z E RR 
Diálogo  DJ I A+ L O G UX 
Diário   DJ I A+ R I UX 
Diógenes     DJ I O+ Z E N IX S 
Dmitri   DJ I M I T R I+ 
Do   D O+ 
Doc  D O+ K IX 
Doce     D O+ S IX 
Documentário     D O K U M E~ T A+ R I UX 
Dois     D O+ IX S 
Dom  D O~+ W~ 
Domingo  D O M I~+ G UX 
Domingos     D O M I~+ G UX S 
Don  D O+ N 
Donald   D O N A+ W DJ IX 
Donato   D O N A+ T UX 
Donovan  D O N O V A~+ 
Dos  D O+ S 
Douglas  D O+ G L AX S 
Doutor   D O T O+ RR 
Doutrina     D O T R I+ N AX 
Dow  D O+ V 
Down     D O+ V N 
Dream    D R E+ A~+ W~ 
Dreyer   D R E I E RR 
Drummond     D R U~ M O~+ DJ IX 
Duarte   D U A+ RR TJ IX 
Duas     D U+ AX S 
Dulce    D U+ W S IX 
Duma     D U+ M AX 
Dumont   D U M O~+ TJ IX 
Duncan   D U~ K A~+ 
Dunga    D U~+ G AX 
Duplas   D U+ P L AX S 
Duran    D U R A~+ 
Durante  D U R A~+ TJ IX 
Dustin   D U S TJ I~+ 
Dutra    D U+ T R AX 
Duvido   D U V I+ D UX 
Duzentos     D U Z E~+ T UX S 
Dylan    D I L A~+ 
Dá   D A+ 
Dávila   D A+ V I L AX 
Década   D E+ K A D AX 
Décima   D E+ S I M AX 
Décimo   D E+ S I M UX 
Déficit  D E+ F I S I TJ IX 
Dívida   DJ I+ V I D AX 
E    IX 
EDSON    E+ DJ I S O~ W~ 
EFE  E+ F IX 
EIS  E IX S 
ELIANE   E L I A N IX 
EM   E~ I~ 
ENCAMINHAR   E~ K A M I NJ A+ RR 
ES   IX S 
ESCOLHA  E S K U LJ AX 
ESPERANDO    E S P E R A~+ D UX 
ESPERANdo    E S P E R A~+ D UX 
EStados  E S T A+ D UX S 
EUA  E+ U AX 
EUa  E+ U AX 
EX-PRESIDENTE    E S P R E Z I D E~+ TJ IX 
Earth    E A+ RR T 
East     E A+ S TJ IX 
Echo     E+ SCH UX 
Eco  E+ K UX 
Economia     E K O N O M I+ AX 
Economistas  E K O N O M I+ S T AX S 
Económica    E K O N O+ M I K AX 
Económico    E K O N O+ M I K UX 
Econômica    E K O N O+ M I K AX 
Econômicas   E K O N O+ M I K AX S 
Econômico    E K O N O+ M I K UX 
Econômicos   E K O N O+ M I K UX S 
Ecos     E+ K UX S 
Ed   E+ DJ IX 
Eddie    E DJ I+ IX 
Eden     E D E~+ 
Edgar    E DJ I G A+ RR 
Edifício     E DJ I F I+ S I UX 
Edimburgo    E DJ I~ B U+ RR G UX 
Edinho   E DJ I+ NJ UX 
Edith    E DJ I+ T 
Edmundo  E DJ I M U~+ D UX 
Edson    E+ DJ I S O~ W~ 
Edu  E D U+ 
Eduardo  E D U A+ RR D UX 
Educação     E D U K A S A~+ W~ 
Edward   E DJ I V A+ RR 
Edwards  E DJ I V A+ RR DJ I S 
Efraim   E F R A I~+ 
Egito    E Z I+ T UX 
Ei   E+ IX 
Eiffel   E I F E+ W 
Eight    E I+ G TJ IX 
Eis  E+ IX S 
El   E W 
Ela  E+ L AX 
Elaine   E L A+ I N IX 
Elas     E+ L AX S 
Elba     E+ W B AX 
Eldorado     E W D O R A+ D UX 
Ele  E+ L IX 
Eleito   E L E I T UX 
Eleitoral    E L E I T O R A+ W 
Eleições     E L E I S O~+ I~ S 
Eles     E+ L IX S 
Elevando     E L E V A~+ D UX 
Eli  E L I+ 
Eliana   E L I A~+ N AX 
Elias    E L I+ AX S 
Elisa    E L I+ Z AX 
Eliseu   E L I Z E+ UX 
Elite    E L I+ TJ IX 
Elizabeth    E L I Z A B E+ T 
Eller    E+ L E RR 
Elsa     E+ W S AX 
Elton    E+ W T O~ W~ 
Elvis    E W V I+ S 
Em   E~ I~ 
Emanuel  E M A N U E+ W 
Embaixada    E~ B A I SCH A+ D AX 
Embora   E~ B O+ R AX 
Embraer  E~ B R A+ E RR 
Embratel     E~ B R A T E+ W 
Emenda   E M E~+ D AX 
Emergência   E M E RR Z E~+ S I AX 
Emerson  E+ M E RR S O~ W~ 
Emilio   E M I L I+ UX 
Emma     E~+ M AX 
Empolgado    E~ P O W G A+ D UX 
Emprego  E~ P R E+ G UX 
Empresa  E~ P R E+ Z AX 
Empresariado     E~ P R E Z A R I A+ D UX 
Empresarial  E~ P R E Z A R I A+ W 
Empresas     E~ P R E+ Z AX S 
Empresários  E~ P R E Z A+ R I UX S 
Empréstimos  E~ P R E+ S TJ I M UX S 
Emílio   E M I+ L I UX 
Encargos     E~ K A+ RR G UX S 
End  E~+ DJ IX 
Energia  E N E RR Z I+ AX 
Engenharia   E~ Z E NJ A R I+ AX 
England  E~ G L A~+ DJ IX 
Enquanto     E~ K U A~+ T UX 
Enrique  E~ RR I+ K IX 
Entra    E~+ T R AX 
Entramos     E~+ T R A~+ M UX S 
Entraram     E~+ T R A+ R A~+ W~ 
Entre    E~+ T R IX 
Entrega  E~+ T R E+ G AX 
Entretanto   E~ T R E T A~+ T UX 
Então    E~ T A~+ W~ 
Enviada  E~ V I A+ D AX 
Enviado  E~ V I A+ D UX 
Enviamos     E~ V I A~+ M UX S 
Equador  E K U A D O+ RR 
Equipe   E K I+ P IX 
Era  E+ R AX 
Eram     E R A~+ W~ 
Erasmo   E R A+ Z M UX 
Eric     E R I+ K IX 
Ermitão  E RR M I T A~+ W~ 
Ernesto  E RR N E+ S T UX 
Eros     E+ R UX S 
Escola   E S K O+ L AX 
Escrevi  E S K R E V I+ 
Escritório   E S K R I T O+ R I UX 
Escute   E S K U+ TJ IX 
Esgrima  E Z G R I+ M AX 
Espacial     E S P A S I A+ W 
Espanha  E S P A~+ NJ AX 
Espaço   E S P A+ S UX 
Especial     E S P E S I A+ W 
Especialistas    E S P E S I A L I+ S T AX S 
Especificamente  E S P E S I F I K A M E~+ TJ IX 
Espera   E S P E+ R AX 
Esperam  E S P E+ R A~+ W~ 
Esperamos    E S P E R A~+ M UX S 
Espere   E S P E+ R IX 
Esperem  E S P E+ R E~ I~ 
Esperemos    E S P E R E+ M UX S 
Espero   E S P E+ R UX 
Esperávamos  E S P E R A+ V A M UX S 
Espirito     E S P I R I+ T UX 
Esplanada    E S P L A N A+ D AX 
Esportes     E S P O+ RR TJ IX S 
Espírito     E S P I+ R I T UX 
Esquerda     E S K E+ RR D AX 
Esquivel     E S K I V E+ W 
Essa     E+ S AX 
Essas    E+ S AX S 
Esse     E+ S IX 
Esses    E+ S IX S 
Esta     E+ S T AX 
Estabelecemos    E S T A B E L E S E+ M UX S 
Estadio  E S T A DJ I+ UX 
Estado   E S T A+ D UX 
Estados  E S T A+ D UX S 
Estadual     E S T A D U A+ W 
Estamos  E S T A~+ M UX S 
Estará   E S T A R A+ 
Estarão  E S T A R A~+ W~ 
Estas    E+ S T AX S 
Estatuto     E S T A T U+ T UX 
Estatística  E S T A TJ I+ S TJ I K AX 
Estatísticas     E S T A TJ I+ S TJ I K AX S 
Este     E+ S TJ IX 
Estes    E+ S TJ IX S 
Esther   E+ S T E RR 
Estilos  E S TJ I+ L UX S 
Estou    E S T O+ 
Estrangeiras     E S T R A~ Z E+ I R AX S 
Estrangeiros     E S T R A~ Z E+ I R UX S 
Estrasburgo  E S T R A Z B U+ RR G UX 
Estratégia   E S T R A T E+ Z I AX 
Estratégicas     E S T R A T E+ Z I K AX S 
Estratégicos     E S T R A T E+ Z I K UX S 
Estrutura    E S T R U T U+ R AX 
Estréia  E S T R E+ I AX 
Estudos  E S T U+ D UX S 
Está     E S T A+ 
Estádio  E S T A+ DJ I UX 
Estávamos    E S T A+ V A M UX S 
Estão    E S T A~+ W~ 
Ethel    E T E+ W 
Eu   E+ UX 
Eudes    E+ U DJ IX S 
Eugênio  E U Z E+ N I UX 
Euro     E+ U R UX 
Eurocopa     E U R O K O+ P AX 
Europa   E U R O+ P AX 
Europeia     E U R O P E+ I AX 
Europeu  E U R O P E+ UX 
Eurídice     E U R I+ DJ I S IX 
Eva  E+ V AX 
Evangelho    E V A~ Z E+ LJ UX 
Evangelista  E V A~ Z E L I+ S T AX 
Evangélica   E V A~ Z E+ L I K AX 
Evans    E V A~+ S 
Eve  E+ V IX 
Evelyn   E V E L I+ N 
Everest  E V E R E+ S TJ IX 
Everton  E+ V E RR T O~ W~ 
Evita    E V I+ T AX 
Ex-presidente    E S P R E Z I D E~+ TJ IX 
Excelência   E S E L E~+ S I AX 
Executivo    E Z E K U TJ I+ V UX 
Exemplo  E Z E~+ P L UX 
Existe   E Z I+ S TJ IX 
Existem  E Z I+ S T E~ I~ 
Expansão     E S P A~ S A~+ W~ 
Experiência  E S P E R I E~+ S I AX 
Experiências     E S P E R I E~+ S I AX S 
Explorer     E S P L O+ R E RR 
Explosão     E S P L O Z A~+ W~ 
Exportadores     E S P O RR T A D O+ R IX S 
Exportação   E S P O RR T A S A~+ W~ 
Exposições   E S P O Z I S O~+ I~ S 
Exterior     E S T E R I O+ RR 
Exteriores   E S T E R I O+ R IX S 
Externa  E S T E+ RR N AX 
Exército     E Z E+ RR S I T UX 
Exércitos    E Z E+ RR S I T UX S 
Exótica  E Z O+ TJ I K AX 
Eye  E+ I IX 
Ezequiel     E Z E K I E+ W 
F    F IX 
FA   F A+ 
FAR  F A+ RR 
FEIRA    F E+ I R AX 
FERNANDES    F E+ RR N A~+ DJ IX S 
FIGUEIREDO   F I+ G E+ I R E D UX 
FIGUEIREdo   F I+ G E+ I R E D UX 
FM   F M 
FORTALEZA    F O RR T A L E+ Z AX 
FOZ  F O Z 
FREITAS  F R E+ I T AX S 
Fabian   F A B I A~+ 
Fabiano  F A B I A~+ N UX 
Fabinho  F A B I+ NJ UX 
Fabricantes  F A B R I K A~+ TJ IX S 
Fabrício     F A B R I+ S I UX 
Faculdade    F A K U W D A+ DJ IX 
Fafá     F A F A+ 
Faixa    F A+ I SCH AX 
Falando  F A L A~+ D UX 
Falcão   F A W K A~+ W~ 
Falcões  F A W K O~+ I~ S 
Falem    F A+ L E~ I~ 
Falta    F A+ W T AX 
Faltaram     F A W T A+ R A~+ W~ 
Familiar     F A M I L I A+ RR 
Family   F A M I L I+ 
Famintos     F A M I~+ T UX S 
Família  F A M I+ L I AX 
Famílias     F A M I+ L I AX S 
Fanny    F A~ N I+ 
Fantasia     F A~ T A Z I+ AX 
Fantástico   F A~ T A+ S TJ I K UX 
Far  F A+ RR 
Faremos  F A R E+ M UX S 
Faria    F A R I+ AX 
Farias   F A R I+ AX S 
Farmácia     F A RR M A+ S I AX 
Farol    F A R O+ W 
Farrapos     F A RR A+ P UX S 
Fará     F A R A+ 
Fatos    F A+ T UX S 
Fazenda  F A Z E~+ D AX 
Faça     F A+ S AX 
Faço     F A+ S UX 
Fed  F E+ DJ IX 
Federal  F E D E R A+ W 
Federico     F E D E R I+ K UX 
Feira    F E+ I R AX 
Felice   F E L I+ S IX 
Feliciano    F E L I S I A~+ N UX 
Felicidade   F E L I S I D A+ DJ IX 
Felipe   F E L I+ P IX 
Felix    F E L I+ K S 
Feliz    F E L I+ S 
Felizmente   F E L I Z M E~+ TJ IX 
Feria    F E R I+ AX 
Feridos  F E R I+ D UX S 
Fernanda     F E RR N A~+ D AX 
Fernandes    F E RR N A~+ DJ IX S 
Fernando     F E RR N A~+ D UX 
Ferrari  F E RR A R I+ 
Ferraz   F E RR A+ S 
Ferreira     F E RR E+ I R AX 
Ferroviária  F E RR O V I A+ R I AX 
Ferroviário  F E RR O V I A+ R I UX 
Festival     F E S TJ I V A+ W 
Fi   F I+ 
Fiasco   F I A+ S K UX 
Fica     F I+ K AX 
Ficaram  F I K A+ R A~+ W~ 
Ficará   F I K A R A+ 
Ficha    F I+ SCH AX 
Fico     F I+ K UX 
Field    F I E+ W DJ IX 
Fifa     F I+ F AX 
Figueira     F I G E+ I R AX 
Figueiredo   F I G E I R E+ D UX 
Fiji     F I Z I+ 
Filarmônica  F I L A RR M O+ N I K AX 
Filho    F I+ LJ UX 
Filipe   F I L I+ P IX 
Finalmente   F I N A W M E~+ TJ IX 
Financeira   F I N A~ S E+ I R AX 
Financeiras  F I N A~ S E+ I R AX S 
Financeiro   F I N A~ S E+ I R UX 
Financial    F I N A~ S I A+ W 
Financiamento    F I N A~ S I A M E~+ T UX 
Finanças     F I N A~+ S AX S 
Fino     F I+ N UX 
Fiquei   F I K E+ IX 
Fire     F I+ R IX 
Firmino  F I RR M I+ N UX 
First    F I+ RR S TJ IX 
Fiscalização     F I S K A L I Z A S A~+ W~ 
Fitzgerald   F I TJ I Z Z E R A+ W DJ IX 
Flamenco     F L A M E~+ K UX 
Flamengo     F L A M E~+ G UX 
Fleet    F L E E+ TJ IX 
Fletcher     F L E+ TJ E RR 
Flo  F L O+ 
Flora    F L O+ R AX 
Florence     F L O R E~+ S IX 
Flores   F L O+ R IX S 
Florianópolis    F L O R I A N O+ P O L IX S 
Florida  F L O R I+ D AX 
Floyd    F L O I+ DJ IX 
Fluminense   F L U M I N E~+ S IX 
Flávio   F L A+ V I UX 
Flórida  F L O+ R I D AX 
Foca     F O+ K AX 
Focus    F O K U+ S 
Foi  F O+ IX 
Folha    F O+ LJ AX 
Fomento  F O M E~+ T UX 
Fonseca  F O~ S E+ K AX 
Fontana  F O~ T A~+ N AX 
Fontes   F O~+ TJ IX S 
Fora     F O+ R AX 
Foram    F O+ R A~+ W~ 
Force    F O+ RR S IX 
Ford     F O+ RR DJ IX 
Forest   F O R E+ S TJ IX 
Formação     F O RR M A S A~+ W~ 
Formosa  F O RR M O+ Z AX 
Foro     F O+ R UX 
Forrest  F O RR E+ S TJ IX 
Fortalecido  F O RR T A L E S I+ D UX 
Fortaleza    F O RR T A L E+ Z AX 
Força    F O+ RR S AX 
Forças   F O+ RR S AX S 
Four     F O RR 
Fox  F O+ K S 
Foz  F O+ S 
Fraga    F R A+ G AX 
Franca   F R A~+ K AX 
Francisco    F R A~ S I+ S K UX 
Franco   F R A~+ K UX 
Francês  F R A~ S E+ S 
Franz    F R A~+ Z 
França   F R A~+ S AX 
Fred     F R E+ DJ IX 
Freddie  F R E DJ I+ IX 
Frederico    F R E D E R I+ K UX 
Free     F R E+ IX 
Freeman  F R E E M A~+ 
Frei     F R E+ IX 
Freire   F R E+ I R IX 
Freitas  F R E+ I T AX S 
Frente   F R E~+ TJ IX 
Freud    F R E U+ DJ IX 
Fria     F R I AX 
Frota    F R O+ T AX 
Fu   F U+ 
Fugiram  F U Z I+ R A~+ W~ 
Fui  F U+ IX 
Fuji     F U Z I+ 
Fulano   F U L A~+ N UX 
Funcionou    F U~ S I O N O+ 
Funcionários     F U~ S I O N A+ R I UX S 
Fundação     F U~ D A S A~+ W~ 
Fundo    F U~+ D UX 
Furtado  F U RR T A+ D UX 
Fusca    F U+ S K AX 
Futuro   F U T U+ R UX 
Fábio    F A+ B I UX 
Fábrica  F A+ B R I K AX 
Fábricas     F A+ B R I K AX S 
Fátima   F A+ TJ I M AX 
Fé   F E+ 
Félix    F E+ L I K S 
Física   F I+ Z I K AX 
Fórmula  F O+ RR M U L AX 
Fórum    F O+ R U~ 
G    G IX 
GAL  G A+ W 
GAMA     G A~+ M AX 
GUSTAVO  G U S T A V O+ 
Gabinete     G A B I N E+ TJ IX 
Gabriel  G A B R I E+ W 
Gabriela     G A B R I E+ L AX 
Gabriele     G A B R I E+ L IX 
Gabrielle    G A B R I E+ L IX 
Gaby     G A B I+ 
Gale     G A+ L IX 
Galinha  G A L I+ NJ AX 
Galo     G A+ L UX 
Gama     G A~+ M AX 
Ganha    G A~+ NJ AX 
Garante  G A R A~+ TJ IX 
Garantia     G A R A~ TJ I+ AX 
Garcia   G A RR S I+ AX 
García   G A RR S I+ AX 
Gardel   G A RR D E+ W 
Garrido  G A RR I+ D UX 
Garros   G A+ RR UX S 
Gary     G A R I+ 
Gaspar   G A S P A+ RR 
Gata     G A+ T AX 
Gates    G A+ TJ IX S 
Gava     G A+ V AX 
Gay  G A+ I 
Gaza     G A+ Z AX 
Gaze     G A+ Z IX 
Gaúcha   G A U+ SCH AX 
Ge   Z E+ 
Genebra  Z E N E+ B R AX 
General  Z E N E R A+ W 
Geno     Z E+ N UX 
Genética     Z E N E+ TJ I K AX 
Geografia    Z E O G R A F I+ AX 
George   Z E O+ RR Z IX 
Georgina     Z E O RR Z I+ N AX 
Gerais   Z E R A+ IX S 
Geral    Z E R A+ W 
Geraldo  Z E R A+ W D UX 
Gerd     Z E+ RR DJ IX 
Gere     Z E+ R IX 
Germano  Z E RR M A~+ N UX 
Gertrude     Z E RR T R U+ DJ IX 
Gestão   Z E S T A~+ W~ 
Getúlio  Z E T U+ L I UX 
Gian     Z I A~+ 
Gianfranco   Z I A~ F R A~+ K UX 
Gianni   Z I A~ N I+ 
Gibson   Z I+ B S O~ W~ 
Gigantes     Z I G A~+ TJ IX S 
Gil  Z I+ W 
Gilberto     Z I W B E+ RR T UX 
Gilmar   Z I W M A+ RR 
Gino     Z I+ N UX 
Ginástica    Z I N A+ S TJ I K AX 
Giovani  Z I O V A N I+ 
Giraldo  Z I R A+ W D UX 
Girl     Z I+ RR L 
Gisele   Z I Z E+ L IX 
Giuliano     Z I U L I A~+ N UX 
Giulietta    Z I U L I E+ T AX 
Glauber  G L A U+ B E RR 
Glaucia  G L A U S I+ AX 
Glenn    G L E~+ N 
Globalização     G L O B A L I Z A S A~+ W~ 
Globo    G L O+ B UX 
Gloria   G L O R I+ AX 
Glória   G L O+ R I AX 
Go   G O+ 
Goiano   G O I A~+ N UX 
Goiás    G O I A+ S 
Goiânia  G O I A~+ N I AX 
Gol  G O+ W 
Gold     G O+ W DJ IX 
Goleiros     G O L E+ I R UX S 
Golf     G O+ W F IX 
Golfo    G O+ W F UX 
Golpe    G O+ W P IX 
Gomes    G O+ M IX S 
